DATE,daily_return
2019/2/14,0.019006930372764207
2019/2/15,0.021542661869481287
2019/2/19,0.004059226020648358
2019/2/20,-0.000402901
2019/2/21,-0.004645065
2019/2/22,0.014220273291728506
2019/2/25,0.013669412547507077
2019/2/26,0.007461556766801881
2019/2/27,0.008064954908162352
2019/2/28,0.0037736666831378837
2019/3/1,-0.007446531
2019/3/4,-0.004510725
2019/3/5,0.0023517620655116494
2019/3/6,0.007337454639230512
2019/3/7,-0.007571437
2019/3/8,-0.003929534
2019/3/11,0.016140171282393832
2019/3/12,0.0050275326920743504
2019/3/13,0.007767196895008742
2019/3/14,0.003234677194239453
2019/3/15,0.008668880681510288
2019/3/18,0.0057522511343685665
2019/3/19,-0.003553699
2019/3/20,-0.00137695
2019/3/21,0.012808736680415742
2019/3/22,-0.022580457
2019/3/25,-7.51E-05
2019/3/26,0.009261705506688186
2019/3/27,-0.001516319
2019/3/28,0.004281375075546972
2019/3/29,0.011640979997521573
2019/4/1,0.017627378837688962
2019/4/2,0.006157601218314519
2019/4/3,0.005725765738733219
2019/4/4,-0.008531004
2019/4/5,0.0013845075292220935
2019/4/8,0.005090914152701632
2019/4/9,-0.005496457
2019/4/10,0.011224757966494851
2019/4/11,-0.003627763
2019/4/12,0.012064489495529889
2019/4/15,0.004785334135084659
2019/4/16,0.007026764586731271
2019/4/17,-0.011258547
2019/4/18,0.0016604391310675948
2019/4/22,-0.001422495
2019/4/23,0.006333846732229689
2019/4/24,0.003258048934902378
2019/4/25,-0.009997758
2019/4/26,-0.007770895
2019/4/29,0.004583204951457606
2019/4/30,-0.00340293
2019/5/1,-0.006723175
2019/5/2,-0.011302644
2019/5/3,2.1929487925355734e-05
2019/5/6,-0.006264069
2019/5/7,-0.021382837
2019/5/8,0.00012300325454402814
2019/5/9,-0.010063759
2019/5/10,0.008572840686341609
2019/5/13,-0.039655509
2019/5/14,0.01397089850900274
2019/5/15,0.007898418073743769
2019/5/16,0.06530284021428538
2019/5/17,0.006816802149077322
2019/5/20,-0.006269241
2019/5/21,0.009458471176736519
2019/5/22,-0.014970873
2019/5/23,-0.027488761
2019/5/24,0.0034380797887504978
2019/5/28,-0.008480302
2019/5/29,-0.013606271
2019/5/30,0.007005806599854662
2019/5/31,-0.02904089
2019/6/3,-0.00501061
2019/6/4,0.02819234333426587
2019/6/5,0.02778471008562221
2019/6/6,0.006717494597174428
2019/6/7,0.014818509333507026
2019/6/10,0.008647343717033636
2019/6/11,0.012221192722911901
2019/6/12,-0.022252985
2019/6/13,0.005636547817681125
2019/6/14,-0.025788103
2019/6/17,0.012108657623019886
2019/6/18,0.011719184501089275
2019/6/19,0.0013756839414564603
2019/6/20,0.022221185333728268
2019/6/21,-0.006127427
2019/6/24,0.0023686126440516475
2019/6/25,-0.019377824
2019/6/26,0.008746010500890099
2019/6/27,-0.015227216
2019/6/28,-0.019787171
2019/7/1,0.0021862149039535363
2019/7/2,0.019164807334478198
2019/7/3,0.011965433740346256
2019/7/5,0.0022412040458855585
2019/7/8,-0.007215762
2019/7/9,0.0024868413084407296
2019/7/10,0.014060355948230095
2019/7/11,0.0029026472213338392
2019/7/12,0.011001850424611225
2019/7/15,0.0017818656819772283
2019/7/16,-0.007466287
2019/7/17,-0.007171456
2019/7/18,0.009344228957206586
2019/7/19,-0.006262565
2019/7/22,0.006104697041355952
2019/7/23,-0.000210541
2019/7/24,-0.008476393
2019/7/25,-0.010561136
2019/7/26,-0.002360392
2019/7/29,0.007868069285307408
2019/7/30,-0.008288558
2019/7/31,-0.019059194
2019/8/1,-0.000230018
2019/8/2,-0.039599585
2019/8/5,-0.036267448
2019/8/6,0.024254828111066277
2019/8/7,-0.005509554
2019/8/8,0.016108294470746378
2019/8/9,-0.013908827
2019/8/12,-0.017333857
2019/8/13,0.023240183262603423
2019/8/14,-0.040735917
2019/8/15,-0.09098947
2019/8/16,0.015697986949529088
2019/8/19,0.032186852613838884
2019/8/20,-0.011359661
2019/8/21,0.016951348855207656
2019/8/22,-0.011993259
2019/8/23,-0.032384146
2019/8/26,0.00981795509017999
2019/8/27,-0.006710162
2019/8/28,0.0014919380744096438
2019/8/29,0.008127750658359642
2019/8/30,-0.010157919
2019/9/3,-0.005766307
2019/9/4,0.017289545611521517
2019/9/5,0.023248574276186918
2019/9/6,0.008657951491177063
2019/9/9,-0.005560206
2019/9/10,0.013070145128723055
2019/9/11,0.016255523482915948
2019/9/12,-0.001720585
2019/9/13,0.002000400747083286
2019/9/16,-0.0016
2019/9/17,-0.010719108
2019/9/18,-0.002050489
2019/9/19,-0.002533239
2019/9/20,0.007166467692877597
2019/9/23,-0.00251938
2019/9/24,-0.006233918
2019/9/25,0.009702616488809056
2019/9/26,-0.015814768
2019/9/27,0.00047330054854499763
2019/9/30,0.011734343730686901
2019/10/1,-0.034644609
2019/10/2,-0.024698516
2019/10/3,0.010550468409783501
2019/10/4,0.009152454019144126
2019/10/7,0.005225660899374786
2019/10/8,-0.028850637
2019/10/9,0.008954195112163166
2019/10/10,-0.014348617
2019/10/11,0.008062835462441343
2019/10/14,-0.01037288
2019/10/15,0.007176225970409223
2019/10/16,0.008963168424994002
2019/10/17,0.005400041543467085
2019/10/18,-0.007550674
2019/10/21,0.015265011331455506
2019/10/22,0.0035527328856257666
2019/10/23,-0.010749028
2019/10/24,-0.014001392
2019/10/25,0.010604250195581685
2019/10/28,0.005812332657763467
2019/10/29,0.0013094552227321439
2019/10/30,0.006926282414080755
2019/10/31,-0.001016599
2019/11/1,-0.010499038
2019/11/4,0.009656932266568491
2019/11/5,0.005732090607114094
2019/11/6,0.011183839536869382
2019/11/7,0.002771937465970927
2019/11/8,0.008604398132232228
2019/11/11,-0.01511078
2019/11/12,0.005596449470518834
2019/11/13,0.0015877219530113541
2019/11/14,-0.075431548
2019/11/15,0.003667873103459011
2019/11/18,0.001439574516471702
2019/11/19,0.006922542365491518
2019/11/20,-0.009042248
2019/11/21,-0.004867486
2019/11/22,1.2412426525392812e-05
2019/11/25,0.013457471424717449
2019/11/26,-0.003420215
2019/11/27,-0.00165202
2019/11/29,0.0020172726550518583
2019/12/2,-0.013411238
2019/12/3,-0.009664148
2019/12/4,-0.009471755
2019/12/5,-0.007599876
2019/12/6,0.006621128464639856
2019/12/9,0.0016468718260027925
2019/12/10,0.004560943394704963
2019/12/11,0.0037501545577665334
2019/12/12,0.03059741126945137
2019/12/13,-0.007360904
2019/12/16,0.01476007516312223
2019/12/17,0.01000471335960125
2019/12/18,0.004090957788568416
2019/12/19,0.026552319543562287
2019/12/20,-0.009248237
2019/12/23,0.013779848610212468
2019/12/24,-0.006898583
2019/12/26,0.0013629578123856895
2019/12/27,-0.001515472
2019/12/30,-0.003502263
2019/12/31,0.007481662738594628
2020/1/2,0.009557221435092115
2020/1/3,-0.016204732
2020/1/6,0.003358725795105507
2020/1/7,-0.006366106
2020/1/8,0.0002806820592420167
2020/1/9,-0.004416706
2020/1/10,-0.003735021
